Article ,,Sensing,,,Reaction,Processing,,Gestures,,,,
Ref,Year,Sensor(1),Sensor(2),Sensro(3),,Problem,User Defined,Size,Effect,Temporal,Focus,Spatial
Kortenkamp1996,1996,"Stereo
Black/White
Camera",-,-,HRI,"Gesture
Recognition",No,6,discrete,static,arm,Yes
Cipolla1996,1996,"Stereo
Black/White
Camera",-,-,HRI,"Feature
Extraction",No,1,continuous,dynamic,fingers,Yes
Starner2000,2000,"Black/White
Camera",Infrared Illumination,Button,-,"Gesture
Recognition",No,8,"continuous
discrete","dynamic
static","arm
fingers",No
,,,,,,"Gesture
Recognition",Yes,6,-,dynamic,"(Bi) hand
finger",No
Yeasin2000,2000,Camera,-,-,-,"Gesture
Recognition",No,5,discrete,dynamic,"fingers
hand",No
Kuno2000,2000,Camera,-,-,HRI,"Gesture
Recognition",Yes,-,discrete,dynamic,(Bi) hand,No
Rogalla2002,2002,Camera,-,-,-,"Gesture
Classification",No,6,discrete,static,"fingers
hand",No
Ramamoorthy2003,2003,Camera,-,-,-,"Gesture
Recognition",No,5,discrete,dynamic,"hand
fingers",No
ChaoHu2004,2003,RGB Camera,-,-,-,"Gesture 
Classification",No,6,discrete,static,"hand
finger",No
Hasanuzzaman2004,2004,RGB Camera,-,-,HRI,"Gesture
Recognition",No,8,discrete,static,"(Bi) hand
fingers",No
,,,,,,"Gesture
Recognition",No,2,discrete,dynamic,head,No
Mantyjarvi2004,2004,Accelerometer,Button,-,-,"Gesture
Recognition",No,8,discrete,dynamic,hand,No
Kang2004,2004,RGB Camera,-,-,HCI,"Gesture
Recognition",No,10,discrete,dynamic,"(Bi) arm
torso",No
Kela2006,2006,Accelerometer,Button,-,HCI,"Gesture
Recognition",No,8,discrete,dynamic,hand,No
,,,,,,"Feature
Extraction",No,-,discrete,dynamic,hand,No
Nickel2007,2007,Stereo Camera,-,-,-,"Gesture
Recognition",No,1,discrete,static,hand,Yes
Kim2007,2007,Proximity Sensors,-,-,-,"Gesture
Recognition",No,5,discrete,"dynamic 
static",hand,No
Bailador2007,2007,Accelerometer,Button,-,-,"Gesture
Recognition",No,8,discrete,dynamic,hand,No
Schlomer2008,2008,Accelerometer,Button,-,-,"Gesture
Recognition",No,5,discrete,dynamic,hand,No
Neto2009,2009,Accelerometer,-,-,HRI,"Gesture
Classification",No,12,discrete,dynamic,arm,No
,,,,,,"Gesture
Recognition",No,2,discrete,static,arm,No
Liu2009,2009,Accelerometer,Button,-,HCI,"Gesture
Recognition",No,8,discrete,dynamic,hand,No
